"id","mssubclass","lotfrontage","lotarea","garagearea","grlivarea","totalbsmtsf","saleprice","lotfrontage_meannorm","lotarea_meannorm","garagearea_meannorm","grlivarea_meannorm","totalbsmtsf_meannorm","saleprice_meannorm"
946,"1-1/2 STORY FINISHED ALL AGES",98,8820,456,1869,1088,124900,0.09571932065744299829,-0.00793114156531716563,-0.01197470873505033138,0.06660442753765316761,0.00500336300248862185,-0.07779641145731281628
176,"1-STORY 1946 & NEWER ALL STYLES",84,12615,576,2158,1202,243000,0.04777411517799094349,0.00980706217863571946,0.07265152539753076876,0.12105054660321458434,0.02366130080936259894,0.08620858784833917650
576,"1-1/2 STORY FINISHED ALL AGES",80,8480,336,1216,832,118500,0.03407548504100464212,-0.00952033504962387997,-0.09660094286763143152,-0.05641742626792332070,-0.03689516400242136178,-0.08668406594974442300
1003,"1-STORY 1946 & NEWER ALL STYLES",75,11957,824,1574,1574,232000,0.01695219736977176541,0.00673150537665390170,0.24754574260486504238,0.01102793921813545850,0.08454509786337241890,0.07093293168947235245
1045,"1-STORY 1946 & NEWER ALL STYLES",80,9600,542,2524,2524,278000,0.03407548504100464212,-0.00428534474837823272,0.04867409239329945705,0.19000307109454842006,0.24002791292065556129,0.13481294835382452576
292,"2 FAMILY CONVERSION - ALL STYLES AND AGES",55,5687,0,1716,780,135900,-0.05154095331515974144,-0.02257509211335521279,-0.33355439843885851192,0.03778001156176771170,-0.04540580230029370221,-0.06252075529844599222
1331,"1-STORY 1946 & NEWER ALL STYLES",85,10000,825,1588,1588,227000,0.05119877271223751884,-0.00241570535507621585,0.24825096122263655155,0.01366546747736680740,0.08683642355895343363,0.06398945161726015970
929,"1-STORY 1946 & NEWER ALL STYLES",NULL,11838,522,1788,1753,236500,NULL,0.00617528765714655168,0.03456972003786927370,0.05134444260924322037,0.11384133354258682152,0.07718206375446332593
663,"1-STORY 1946 & NEWER ALL STYLES",120,13560,576,1392,1392,110000,0.17106178641086765582,0.01422408524531173432,0.07265152539753076876,-0.02325992815187207730,0.05475786382081922741,-0.09848798207250515067
1307,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER",48,6955,474,1368,1368,202500,-0.07551355605488576884,-0.01664833523658781930,0.00071922638483683364,-0.02778140516769724685,0.05082987691410891645,0.02996639926342041522
770,"2-STORY 1946 & NEWER",47,53504,841,3279,1650,538000,-0.07893821358913234418,0.20092627506045113931,0.25953445910698069824,0.33224120221738187899,0.09698372306795507029,0.49587391210885854881
271,"2-STORY 1946 & NEWER",84,10728,1053,1939,1095,266000,0.04777411517799094349,0.00098703834073345486,0.40904080607454064182,0.07979206883380991215,0.00614902585027912921,0.11814859618051526316
22,"1-1/2 STORY - UNFINISHED ALL AGES",57,7449,280,1108,637,139400,-0.04469163824666659075,-0.01433933058585982846,-0.13609318546283594492,-0.07676407283913658370,-0.06881005761944263838,-0.05766031924789745730
417,"2-STORY 1946 & NEWER",74,7844,440,1400,672,149500,0.01352753983552519007,-0.01249306168497408680,-0.02325820661939447807,-0.02175276914659702078,-0.06308174338049010155,-0.04363448950202882794
1373,"2-STORY 1946 & NEWER",75,9750,583,2097,1108,274300,0.01695219736977176541,-0.00358422997588997640,0.07758805572193133293,0.10955845918799227839,0.00827668542474721432,0.12967477310038750312
764,"2-STORY 1946 & NEWER",82,9430,856,2365,1252,337000,0.04092480010949779281,-0.00507994149053158989,0.27011273837355333575,0.16004828586470667176,0.03184460686500908011,0.21674601320592840022
556,"1-1/2 STORY - UNFINISHED ALL AGES",58,6380,280,1048,993,113000,-0.04126698071242001541,-0.01933594186445946856,-0.13609318546283594492,-0.08806776537869950759,-0.01054491850323969239,-0.09432189402917783502
1175,"2-STORY 1945 & OLDER",80,16560,360,2345,952,239000,0.03407548504100464212,0.02824638069507686088,-0.07967569604111521150,0.15628038835151903046,-0.01725522946886980696,0.08065380379056942230
529,"1-STORY 1945 & OLDER",58,9098,0,605,528,86000,-0.04126698071242001541,-0.00663174218697226390,-0.33355439843885851192,-0.17152669529580576230,-0.08664966482075196735,-0.13181668641912367588
1268,"1-STORY 1946 & NEWER ALL STYLES",89,13214,746,2018,2002,378500,0.06489740284922382021,0.01260684717010548973,0.19253869041868732729,0.09467526401090109527,0.15459419769970629779,0.27437689780528960006
638,"2 FAMILY CONVERSION - ALL STYLES AND AGES",50,6000,256,1387,811,93000,-0.06866424098639261815,-0.02111209928809638458,-0.15301843228935216495,-0.02420190253016898762,-0.04033215254579288388,-0.12209581431802660603
791,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER",43,3182,397,1145,1145,160200,-0.09263684372611864555,-0.03428370881390909346,-0.05358260718356937228,-0.06979346243973944731,0.01433233190592561039,-0.02877544214749473545
775,"1-STORY 1946 & NEWER ALL STYLES",110,14226,895,1973,1935,395000,0.13681521106840190240,0.01733703483515959242,0.29761626446664219330,0.08619749460622890235,0.14362856758514001301,0.29729038204358983613
940,"2-STORY 1945 & OLDER",NULL,24090,349,2403,1032,244400,NULL,0.06344234227398732852,-0.08743310083660181234,0.16720729113976319022,-0.00416193977983543707,0.08815276226855859047
390,"2-STORY 1946 & NEWER",96,12474,846,2332,1682,426000,0.08887000558894984760,0.00914801429249675851,0.26306055219583824408,0.15383125496794706362,0.10222103894356881825,0.34033995849130543119
173,"2-STORY PUD - 1946 & NEWER",44,5306,504,1767,1064,239000,-0.08921218619187207021,-0.02435592363547538386,0.02187578491798210867,0.04738815022039619700,0.00107537609577831088,0.08065380379056942230
1018,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER",NULL,5814,565,1360,1220,187500,NULL,-0.02198148160598182243,0.06489412060204416791,-0.02928856417297230337,0.02660729098939533216,0.00913595904678383697
42,"1-STORY 1946 & NEWER ALL STYLES",115,16905,308,1328,1350,170000,0.15393849873963477911,0.02985894467179985043,-0.11634706416523368822,-0.03531720019407252945,0.04788388673407618322,-0.01516622120595883766
1263,"1-1/2 STORY FINISHED ALL AGES",NULL,11250,304,1788,1104,161500,NULL,0.00342691774899258688,-0.11916793863631972489,0.05134444260924322037,0.00762202094029549583,-0.02697013732871956534
189,"DUPLEX - ALL STYLES AND AGES",64,7018,528,1224,1086,153337,-0.02071903550694056336,-0.01635386703214275164,0.03880103174449832870,-0.05491026726264826419,0.00467603076026276260,-0.03830606289461319122
161,"1-STORY 1946 & NEWER ALL STYLES",NULL,11120,516,1232,1232,162500,NULL,0.00281928494616943140,0.03033840833124021869,-0.05340310825737320767,0.02857128444275048764,-0.02558144131427712679
876,"2-STORY 1946 & NEWER",75,9000,550,2610,1184,303477,0.01695219736977176541,-0.00708980383833125803,0.05431584133547153039,0.20620503040125527764,0.02071531062932986571,0.17019275671377453270
113,"2-STORY 1946 & NEWER",77,9965,792,2696,1264,383970,0.02380151243826491610,-0.00257929880199014233,0.22497874683617674901,0.22240698970796213521,0.03380860031836423560,0.28197306500428973893
1431,"2-STORY 1946 & NEWER",60,21930,372,1838,732,192140,-0.03441766564392686473,0.05334628955015643740,-0.07121307262785710148,0.06076418639221232361,-0.05326177611371432414,0.01557950855379675184
1372,"SPLIT OR MULTI-LEVEL",80,9600,377,1661,992,165500,0.03407548504100464212,-0.00428534474837823272,-0.06768697953899955564,0.02741829340050169813,-0.01070858462435262201,-0.02141535327094981114
632,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER",34,4590,627,1554,1554,209500,-0.12345876153433782363,-0.02770257814948599406,0.10861767490387773632,0.00726004170494781720,0.08127177544111382643,0.03968727136451748507
658,"2-STORY 1945 & OLDER",60,7200,270,1502,776,149000,-0.03441766564392686473,-0.01550318110819033396,-0.14314537164055103660,-0.00253649182934005017,-0.04606046678474542070,-0.04432883750925004722
120,"2-STORY 1946 & NEWER",65,8461,390,1456,728,163990,-0.01729437797269398801,-0.00960914292080572577,-0.05851913750796993646,-0.01120265610967162515,-0.05391644059816604264,-0.02351228425275789335
1289,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER",40,5664,499,1659,1501,278000,-0.10291081632885837158,-0.02268259637847007876,0.01834969182912456283,0.02704150364918293401,0.07259747102212855638,0.13481294835382452576
802,"1-STORY 1945 & OLDER",40,4800,440,1196,1196,109900,-0.10291081632885837158,-0.02672101746800243521,-0.02325820661939447807,-0.06018532378111096200,0.02267930408268502119,-0.09862685167394939453
578,"SPLIT OR MULTI-LEVEL",96,11777,564,1320,1164,164500,0.08887000558894984760,0.00589016764966799411,0.06418890198427265874,-0.03682435919934758596,0.01744198820707127324,-0.02280404928539224969
815,"1-1/2 STORY FINISHED ALL AGES",45,8248,280,1250,686,116000,-0.08578752865762549486,-0.01060472589773904976,-0.13609318546283594492,-0.05001200049550433050,-0.06079041768490908682,-0.09015580598585051937
695,"1-1/2 STORY FINISHED ALL AGES",51,6120,576,1539,927,141500,-0.06523958345214604281,-0.02055120747010577952,0.07265152539753076876,0.00443411857005708623,-0.02134688249669304755,-0.05474405761756833634
1422,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER",53,4043,440,1069,1069,127500,-0.05839026838365289212,-0.03025931001982650214,-0.02325820661939447807,-0.08411147298985248423,0.00189370670134295900,-0.07418580181976247604
440,"1-1/2 STORY FINISHED ALL AGES",67,12354,528,1196,684,110000,-0.01044506290420083733,0.00858712247450615345,0.03880103174449832870,-0.06018532378111096200,-0.06111774992713494607,-0.09848798207250515067
1004,"DUPLEX - ALL STYLES AND AGES",NULL,11500,528,1680,1680,136905,NULL,0.00459544236980634743,0.03880103174449832870,0.03099779603802995737,0.10189370670134295900,-0.06112511580393134148
1415,"1-1/2 STORY FINISHED ALL AGES",64,13053,370,1848,833,207000,-0.02071903550694056336,0.01185431731430142794,-0.07262350986340011982,0.06264813514880614425,-0.03673149788130843216,0.03621553132841138870
794,"1-STORY 1946 & NEWER ALL STYLES",76,9158,474,1496,1496,225000,0.02037685490401834075,-0.00635129627797696137,0.00071922638483683364,-0.00366686108329634256,0.07177914041656390827,0.06121205958837528260
57,"2-STORY PUD - 1946 & NEWER",24,2645,480,1739,970,172500,-0.15770533687680357705,-0.03679369969941705111,0.00495053809146588865,0.04211309370193349919,-0.01430923928883707373,-0.01169448116985274129
1313,"2-STORY 1946 & NEWER",NULL,9572,750,2810,1453,302000,NULL,-0.00441621950590937390,0.19535956488977336396,0.24388400553313169060,0.06474149720870793445,0.16814165270044305097
19,"1-STORY 1946 & NEWER ALL STYLES",66,13695,576,1114,1114,159000,-0.01386972043844741267,0.01485508854055116502,0.07265152539753076876,-0.07563370358518029131,0.00925868215142479206,-0.03044187736482566171
160,"2-STORY 1946 & NEWER",134,19378,576,2462,1392,320000,0.21900699189031971062,0.04141799022088956975,0.07265152539753076876,0.17832258880366673205,0.05475786382081922741,0.19313818096040694487
644,"2-STORY 1946 & NEWER",80,10793,462,1620,780,152000,0.03407548504100464212,0.00129085474214503260,-0.00774339702842127638,0.01969410349846703348,-0.04540580230029370221,-0.04016274946592273157
824,"1-1/2 STORY FINISHED ALL AGES",60,9900,240,1489,778,139500,-0.03441766564392686473,-0.00288311520340172007,-0.16430193017369631164,-0.00498562521291201701,-0.04573313454251956146,-0.05752144964645321344
1368,"2-STORY PUD - 1946 & NEWER",41,2665,336,1475,757,127000,-0.09948615879461179623,-0.03670021772975195027,-0.09660094286763143152,-0.00762315347214336592,-0.04917012308589108355,-0.07488014982698369532
508,"1-STORY 1946 & NEWER ALL STYLES",75,7862,676,1218,1218,208300,0.01695219736977176541,-0.01240892791227549604,0.14317338717468168554,-0.05604063651660455657,0.02627995874716947291,0.03802083614718655881
1262,"1-STORY 1946 & NEWER ALL STYLES",80,9600,338,1050,1050,128900,0.03407548504100464212,-0.00428534474837823272,-0.09519050563208841319,-0.08769097562738074346,-0.00121594959980270385,-0.07224162739954306207
1194,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER",NULL,4500,402,1224,1224,165000,NULL,-0.02812324701297894786,-0.05005651409471182645,-0.05491026726264826419,0.02726195547384705065,-0.02210970127817103041
357,"1-STORY 1946 & NEWER ALL STYLES",NULL,9248,400,1167,1158,173000,NULL,-0.00593062741448400757,-0.05146695133025484478,-0.06564877517523304188,0.01645999148039369550,-0.01100013316263152201
1143,"2-STORY 1946 & NEWER",77,9965,1052,2828,1466,424870,0.02380151243826491610,-0.00257929880199014233,0.40833558745676913265,0.24727511329500056777,0.06686915678317601956,0.33877073199498547563
769,"1-STORY 1946 & NEWER ALL STYLES",70,9100,484,1836,1860,216837,-0.00017109030146111130,-0.00662239399000575382,0.00777141256255192532,0.06038739664089355948,0.13135360850167029124,0.04987613402248165671
266,"1-STORY 1946 & NEWER ALL STYLES",78,12090,576,1422,1422,175500,0.02722616997251149144,0.00735316047492682231,0.07265152539753076876,-0.01760808188209061535,0.05966784745420711612,-0.00752839312652542564
1287,"1-STORY 1946 & NEWER ALL STYLES",NULL,9790,528,1328,1328,143000,NULL,-0.00339726603655977471,0.03880103174449832870,-0.03531720019407252945,0.04428323206959173151,-0.05266101359590467852
315,"2-STORY 1945 & OLDER",60,9600,546,1641,728,178000,-0.03441766564392686473,-0.00428534474837823272,0.05149496686438549372,0.02365039588731405684,-0.05391644059816604264,-0.00405665309041932926
1162,"1-STORY 1946 & NEWER ALL STYLES",NULL,14778,924,1640,1296,224000,NULL,0.01991713719791637570,0.31806760438201595917,0.02346200101165467477,0.03904591619397798355,0.05982336357393284405
366,"2-STORY 1945 & OLDER",59,10690,468,1344,672,147000,-0.03784232317817344007,0.00080942259836976326,-0.00351208532179222137,-0.03230288218352241641,-0.06308174338049010155,-0.04710622953813492432
307,"2-STORY 1946 & NEWER",116,13474,746,2243,700,225000,0.15736315627388135445,0.01382211277575180070,0.19253869041868732729,0.13706411103426205985,-0.05849909198932807209,0.06121205958837528260
841,"2-STORY 1945 & OLDER",NULL,12155,400,1482,672,140000,NULL,0.00765697687633840006,-0.05146695133025484478,-0.00630438934252769147,-0.06308174338049010155,-0.05682710163923199417
1030,"2-STORY PUD - 1946 & NEWER",21,1680,264,1218,672,118000,-0.16797930947954330308,-0.04130420473575816682,-0.14737668334718009161,-0.05604063651660455657,-0.06308174338049010155,-0.08737841395696564227
91,"1-STORY 1946 & NEWER ALL STYLES",60,7200,420,1040,0,109900,-0.03441766564392686473,-0.01550318110819033396,-0.03736257897482466142,-0.08957492438397456411,-0.17306537676837880859,-0.09862685167394939453
1239,"1-STORY 1946 & NEWER ALL STYLES",63,13072,484,1141,1141,142500,-0.02414369304118713870,0.01194312518548327374,0.00777141256255192532,-0.07054704194237697557,0.01367766742147389190,-0.05335536160312589779
803,"2-STORY 1946 & NEWER",63,8199,410,1456,728,189000,-0.02414369304118713870,-0.01083375672341854682,-0.04441476515253975310,-0.01120265610967162515,-0.05391644059816604264,0.01121900306844749479
305,"2-1/2 STORY ALL AGES",87,18386,870,3493,1470,295000,0.05804808778073066952,0.03678128452550056790,0.27998579902235446410,0.37255770560848964086,0.06752382126762773805,0.15842078059934598111
54,"1-STORY 1946 & NEWER ALL STYLES",68,50271,894,1842,1842,385000,-0.00702040536995426199,0.18581491466408758793,0.29691104584887068413,0.06151776589484985187,0.12840761832163755802,0.28340342189916545063
181,"2-STORY PUD - 1946 & NEWER",NULL,2117,440,1525,756,177000,NULL,-0.03926162369857571338,-0.02325820661939447807,0.00179659031082573732,-0.04933378920700401318,-0.00544534910486176781
1312,"1-STORY 1946 & NEWER ALL STYLES",68,8814,508,1274,1274,203000,-0.00702040536995426199,-0.00795918615621669588,0.02469665938906814535,-0.04549052347967916095,0.03544526152949353183,0.03066074727064163450
743,"1-STORY 1946 & NEWER ALL STYLES",65,8450,539,1349,1349,179000,-0.01729437797269398801,-0.00966055800412153123,0.04655843653998492955,-0.03136090780522550609,0.04772022061296325360,-0.00266795707597689071
10,"2 FAMILY CONVERSION - ALL STYLES AND AGES",50,7420,205,1077,991,118000,-0.06866424098639261815,-0.01447487944187422468,-0.18898458179569913251,-0.08260431398457742771,-0.01087225074546555164,-0.08737841395696564227
35,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER",60,7313,556,1561,1561,277500,-0.03441766564392686473,-0.01497500797958251420,0.05854715304210058540,0.00857880583456349165,0.08241743828890433380,0.13411860034660330649
963,"2-STORY PUD - 1946 & NEWER",24,2308,440,1548,804,155000,-0.15770533687680357705,-0.03836887088827400033,-0.02325820661939447807,0.00612967245099152481,-0.04147781539358339124,-0.03599666142259541591
220,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER",43,3010,438,1248,1248,167240,-0.09263684372611864555,-0.03508765375302896071,-0.02466864385493749640,-0.05038879024682309463,0.03118994238055736162,-0.01899902220581996806
1278,"SPLIT OR MULTI-LEVEL",NULL,17871,480,1724,1680,197900,NULL,0.03437412380662422118,0.00495053809146588865,0.03928717056704276822,0.10189370670134295900,0.02357839759698519789
823,"2-STORY 1946 & NEWER",NULL,12394,433,1733,847,225000,NULL,0.00877408641383635514,-0.02819473694379504224,0.04098272444797720680,-0.03444017218572741743,0.06121205958837528260
822,"1-STORY 1946 & NEWER ALL STYLES",60,6000,576,936,936,93000,-0.03441766564392686473,-0.02111209928809638458,0.07265152539753076876,-0.10916799145255029885,-0.01987388740667668093,-0.12209581431802660603
400,"2-STORY 1946 & NEWER",65,8125,438,1550,1092,241000,-0.01729437797269398801,-0.01117964001117941994,-0.02466864385493749640,0.00650646220231028894,0.00565802748694034034,0.08343119581945429940
1118,"1-STORY 1946 & NEWER ALL STYLES",57,9764,450,894,894,130000,-0.04469163824666659075,-0.00351879259712440581,-0.01620602044167938639,-0.11708057623024434557,-0.02674786449341972512,-0.07071406178365637967
1025,"1-STORY 1946 & NEWER ALL STYLES",NULL,15498,665,2898,1565,287000,NULL,0.02328248810586000608,0.13541598237919508470,0.26046275459115731230,0.08307210277335605229,0.14731121248380647271
241,"1-STORY 1946 & NEWER ALL STYLES",75,9000,750,1566,1566,262500,0.01695219736977176541,-0.00708980383833125803,0.19535956488977336396,0.00952078021286040198,0.08323576889446898191,0.11328816012996672823
175,"1-STORY 1946 & NEWER ALL STYLES",47,12416,616,1651,1606,184000,-0.07893821358913234418,0.00887691658046796607,0.10086027010839113547,0.02553434464390787749,0.08978241373898616686,0.00427552299623530204
1007,"1-STORY 1946 & NEWER ALL STYLES",NULL,12155,484,1657,1657,163500,NULL,0.00765697687633840006,0.00777141256255192532,0.02666471389786416988,0.09812938591574557766,-0.02419274529983468824
596,"1-STORY 1946 & NEWER ALL STYLES",69,11302,758,1826,1814,319000,-0.00359574783570768664,0.00366997087012184907,0.20100131383194543731,0.05850344788429973883,0.12382496693047552856,0.19174948494596450632
285,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER",50,8012,529,1575,1575,179200,-0.06866424098639261815,-0.01170781313978723971,0.03950625036226983787,0.01121633409379484056,0.08470876398448534853,-0.00239021787308840300
50,"1-STORY 1946 & NEWER ALL STYLES",66,7742,386,955,955,127000,-0.01386972043844741267,-0.01296981973026610110,-0.06134001197905597313,-0.10558848881502203962,-0.01676423110553101809,-0.07488014982698369532
13,"1-STORY 1946 & NEWER ALL STYLES",NULL,12968,352,912,912,144000,NULL,0.01145701894322474935,-0.08531744498328728484,-0.11368946846837546841,-0.02380187431338699190,-0.05127231758146223997
1319,"1-STORY 1946 & NEWER ALL STYLES",NULL,14781,748,1787,1753,275000,NULL,0.01993115949336614083,0.19394912765423034563,0.05115604773358383830,0.11384133354258682152,0.13064686031049721011
1266,"2-STORY PUD - 1946 & NEWER",35,3735,506,1452,691,183900,-0.12003410400009124829,-0.03169893235266905513,0.02328622215352512701,-0.01195623561230915341,-0.05997208707934443871,0.00413665339479105819
391,"1-1/2 STORY FINISHED ALL AGES",50,8405,384,1367,861,119000,-0.06866424098639261815,-0.00987089243586800813,-0.06275044921459899147,-0.02796980004335662892,-0.03214884649014640270,-0.08598971794252320372
1104,"1-STORY 1946 & NEWER ALL STYLES",79,8910,539,1194,655,159500,0.03065082750675806678,-0.00751047270182421183,0.04655843653998492955,-0.06056211353242972613,-0.06586406743940990516,-0.02974752935760444244
487,"1-STORY 1946 & NEWER ALL STYLES",79,10289,515,1073,1073,156000,0.03065082750675806678,-0.00106489089341550866,0.02963318971346870952,-0.08335789348721495597,0.00254837118579467750,-0.03460796540815297736
2,"1-STORY 1946 & NEWER ALL STYLES",80,9600,460,1262,1262,181500,0.03407548504100464212,-0.00428534474837823272,-0.00915383426396429471,-0.04775126198759174572,0.03348126807613837635,0.00080378296012920567
699,"1-STORY 1946 & NEWER ALL STYLES",65,8450,336,894,894,138500,-0.01729437797269398801,-0.00966055800412153123,-0.09660094286763143152,-0.11708057623024434557,-0.02674786449341972512,-0.05891014566089565199
246,"1-STORY 1946 & NEWER ALL STYLES",80,10400,604,1872,1845,241500,0.03407548504100464212,-0.00054606596177419898,0.09239764669513302546,0.06716961216463131381,0.12889861668497634689,0.08412554382667551868
75,"1-1/2 STORY FINISHED ALL AGES",60,5790,379,1605,840,107400,-0.03441766564392686473,-0.02209365996957994344,-0.06627654230345653731,0.01686818036357630251,-0.03558583503351792480,-0.10209859171005549090
1190,"2-STORY 1946 & NEWER",60,7500,442,1804,994,189000,-0.03441766564392686473,-0.01410095156321382131,-0.02184776938385145973,0.05435876061979333340,-0.01038125238212676277,0.01121900306844749479
128,"1-1/2 STORY - UNFINISHED ALL AGES",55,4388,0,840,672,87000,-0.05154095331515974144,-0.02864674604310351259,-0.33355439843885851192,-0.12725389951585097707,-0.06308174338049010155,-0.13042799040468123733
714,"2 FAMILY CONVERSION - ALL STYLES AND AGES",60,9873,576,960,960,129000,-0.03441766564392686473,-0.00300931586244960621,0.07265152539753076876,-0.10464651443672512930,-0.01594590049996636997,-0.07210275779809881822
344,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER",63,8849,564,1684,1684,266000,-0.02414369304118713870,-0.00779559270930276940,0.06418890198427265874,0.03175137554066748563,0.10254837118579467750,0.11814859618051526316
906,"1-STORY 1946 & NEWER ALL STYLES",80,9920,280,1063,1056,128000,0.03407548504100464212,-0.00278963323373661922,-0.13609318546283594492,-0.08524184224380877662,-0.00023395287312512610,-0.07349145381254125677
909,"1-STORY 1946 & NEWER ALL STYLES",NULL,8885,484,902,864,131000,NULL,-0.00762732516390558788,0.00777141256255192532,-0.11557341722496928905,-0.03165784812680761383,-0.06932536576921394112
1321,"1-STORY 1946 & NEWER ALL STYLES",70,8400,442,1478,1478,156500,-0.00017109030146111130,-0.00989426292828428334,-0.02184776938385145973,-0.00705796884516521972,0.06883315023653117504,-0.03391361740093175809
745,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER",41,5395,462,1337,1337,180000,-0.09948615879461179623,-0.02393992887046568511,-0.00774339702842127638,-0.03362164631313809086,0.04575622715960809812,-0.00127926106153445216
1078,"1-STORY 1946 & NEWER ALL STYLES",NULL,15870,299,1096,1096,138800,NULL,0.02502125274163088177,-0.12269403172517727073,-0.07902481134704916848,0.00631269197139205884,-0.05849353685656292043
534,"1-STORY 1946 & NEWER ALL STYLES",50,5000,0,334,0,39300,-0.06866424098639261815,-0.02578619777135142677,-0.33355439843885851192,-0.22258170659949830187,-0.17306537676837880859,-0.19666879029358555617
152,"1-STORY 1946 & NEWER ALL STYLES",107,13891,866,1710,1710,372402,0.12654123846566217637,0.01577121184326915329,0.27716492455126842743,0.03664964230781141931,0.10680369033473084771,0.26590862950921960978
1216,"1-STORY 1946 & NEWER ALL STYLES",99,7094,384,894,894,125000,0.09914397819168957363,-0.01599863554741536844,-0.06275044921459899147,-0.11708057623024434557,-0.02674786449341972512,-0.07765754185586857242
1049,"1-STORY 1946 & NEWER ALL STYLES",100,21750,336,1771,0,115000,0.10256863572593614897,0.05250495182317052981,-0.09660094286763143152,0.04814172972303372526,-0.17306537676837880859,-0.09154450200029295792
428,"1-STORY 1946 & NEWER ALL STYLES",77,8593,352,907,907,109008,0.02380151243826491610,-0.00899216192101606020,-0.08531744498328728484,-0.11463144284667237873,-0.02462020491895164002,-0.09986556851883204972
