"id","landslope","gentle_slope","moderate_slope","severe_slope"
202,"Gentle slope",1,0,0
203,"Gentle slope",1,0,0
204,"Gentle slope",1,0,0
205,"Gentle slope",1,0,0
206,"Gentle slope",1,0,0
207,"Gentle slope",1,0,0
208,"Gentle slope",1,0,0
209,"Moderate Slope",0,1,0
210,"Gentle slope",1,0,0
211,"Gentle slope",1,0,0
212,"Gentle slope",1,0,0
213,"Gentle slope",1,0,0
214,"Gentle slope",1,0,0
215,"Gentle slope",1,0,0
216,"Gentle slope",1,0,0
217,"Gentle slope",1,0,0
218,"Gentle slope",1,0,0
219,"Gentle slope",1,0,0
220,"Gentle slope",1,0,0
221,"Gentle slope",1,0,0
222,"Gentle slope",1,0,0
223,"Gentle slope",1,0,0
224,"Gentle slope",1,0,0
225,"Gentle slope",1,0,0
226,"Gentle slope",1,0,0
227,"Gentle slope",1,0,0
228,"Gentle slope",1,0,0
229,"Gentle slope",1,0,0
230,"Gentle slope",1,0,0
231,"Gentle slope",1,0,0
232,"Gentle slope",1,0,0
233,"Gentle slope",1,0,0
234,"Gentle slope",1,0,0
235,"Gentle slope",1,0,0
236,"Gentle slope",1,0,0
237,"Gentle slope",1,0,0
238,"Gentle slope",1,0,0
239,"Gentle slope",1,0,0
240,"Gentle slope",1,0,0
241,"Gentle slope",1,0,0
242,"Gentle slope",1,0,0
243,"Gentle slope",1,0,0
244,"Gentle slope",1,0,0
245,"Gentle slope",1,0,0
246,"Gentle slope",1,0,0
247,"Gentle slope",1,0,0
248,"Gentle slope",1,0,0
249,"Gentle slope",1,0,0
250,"Severe Slope",0,0,1
251,"Gentle slope",1,0,0
252,"Moderate Slope",0,1,0
253,"Gentle slope",1,0,0
254,"Gentle slope",1,0,0
255,"Gentle slope",1,0,0
256,"Gentle slope",1,0,0
257,"Gentle slope",1,0,0
258,"Gentle slope",1,0,0
259,"Gentle slope",1,0,0
260,"Gentle slope",1,0,0
261,"Gentle slope",1,0,0
262,"Gentle slope",1,0,0
263,"Gentle slope",1,0,0
264,"Gentle slope",1,0,0
265,"Gentle slope",1,0,0
266,"Gentle slope",1,0,0
267,"Gentle slope",1,0,0
268,"Moderate Slope",0,1,0
269,"Gentle slope",1,0,0
270,"Gentle slope",1,0,0
271,"Gentle slope",1,0,0
272,"Severe Slope",0,0,1
273,"Gentle slope",1,0,0
274,"Gentle slope",1,0,0
275,"Gentle slope",1,0,0
276,"Gentle slope",1,0,0
277,"Gentle slope",1,0,0
278,"Gentle slope",1,0,0
279,"Gentle slope",1,0,0
280,"Gentle slope",1,0,0
281,"Gentle slope",1,0,0
282,"Gentle slope",1,0,0
283,"Gentle slope",1,0,0
284,"Gentle slope",1,0,0
285,"Gentle slope",1,0,0
286,"Gentle slope",1,0,0
287,"Gentle slope",1,0,0
288,"Gentle slope",1,0,0
289,"Gentle slope",1,0,0
290,"Gentle slope",1,0,0
291,"Gentle slope",1,0,0
292,"Gentle slope",1,0,0
293,"Gentle slope",1,0,0
294,"Gentle slope",1,0,0
295,"Gentle slope",1,0,0
296,"Gentle slope",1,0,0
297,"Gentle slope",1,0,0
298,"Gentle slope",1,0,0
299,"Gentle slope",1,0,0
300,"Gentle slope",1,0,0
301,"Gentle slope",1,0,0
302,"Gentle slope",1,0,0
303,"Gentle slope",1,0,0
304,"Gentle slope",1,0,0
305,"Gentle slope",1,0,0
306,"Gentle slope",1,0,0
307,"Gentle slope",1,0,0
308,"Gentle slope",1,0,0
309,"Gentle slope",1,0,0
310,"Gentle slope",1,0,0
311,"Gentle slope",1,0,0
312,"Gentle slope",1,0,0
313,"Gentle slope",1,0,0
314,"Severe Slope",0,0,1
315,"Gentle slope",1,0,0
316,"Gentle slope",1,0,0
317,"Gentle slope",1,0,0
318,"Gentle slope",1,0,0
319,"Moderate Slope",0,1,0
320,"Gentle slope",1,0,0
321,"Gentle slope",1,0,0
322,"Gentle slope",1,0,0
323,"Gentle slope",1,0,0
324,"Gentle slope",1,0,0
325,"Gentle slope",1,0,0
326,"Gentle slope",1,0,0
327,"Gentle slope",1,0,0
328,"Gentle slope",1,0,0
329,"Gentle slope",1,0,0
330,"Gentle slope",1,0,0
331,"Gentle slope",1,0,0
332,"Gentle slope",1,0,0
333,"Gentle slope",1,0,0
334,"Gentle slope",1,0,0
335,"Gentle slope",1,0,0
336,"Severe Slope",0,0,1
337,"Gentle slope",1,0,0
338,"Gentle slope",1,0,0
339,"Gentle slope",1,0,0
340,"Gentle slope",1,0,0
341,"Gentle slope",1,0,0
342,"Gentle slope",1,0,0
343,"Gentle slope",1,0,0
344,"Gentle slope",1,0,0
345,"Gentle slope",1,0,0
346,"Gentle slope",1,0,0
347,"Gentle slope",1,0,0
348,"Gentle slope",1,0,0
349,"Gentle slope",1,0,0
350,"Gentle slope",1,0,0
351,"Gentle slope",1,0,0
352,"Moderate Slope",0,1,0
353,"Gentle slope",1,0,0
354,"Gentle slope",1,0,0
355,"Gentle slope",1,0,0
356,"Gentle slope",1,0,0
357,"Gentle slope",1,0,0
358,"Gentle slope",1,0,0
359,"Gentle slope",1,0,0
360,"Gentle slope",1,0,0
361,"Gentle slope",1,0,0
362,"Gentle slope",1,0,0
363,"Gentle slope",1,0,0
364,"Gentle slope",1,0,0
365,"Gentle slope",1,0,0
366,"Gentle slope",1,0,0
367,"Gentle slope",1,0,0
368,"Gentle slope",1,0,0
369,"Gentle slope",1,0,0
370,"Gentle slope",1,0,0
371,"Gentle slope",1,0,0
372,"Gentle slope",1,0,0
373,"Gentle slope",1,0,0
374,"Gentle slope",1,0,0
375,"Gentle slope",1,0,0
376,"Severe Slope",0,0,1
377,"Gentle slope",1,0,0
378,"Gentle slope",1,0,0
379,"Gentle slope",1,0,0
380,"Gentle slope",1,0,0
381,"Gentle slope",1,0,0
382,"Gentle slope",1,0,0
383,"Gentle slope",1,0,0
384,"Gentle slope",1,0,0
385,"Moderate Slope",0,1,0
386,"Gentle slope",1,0,0
387,"Gentle slope",1,0,0
388,"Gentle slope",1,0,0
389,"Gentle slope",1,0,0
390,"Gentle slope",1,0,0
391,"Gentle slope",1,0,0
392,"Gentle slope",1,0,0
393,"Gentle slope",1,0,0
394,"Gentle slope",1,0,0
395,"Gentle slope",1,0,0
396,"Gentle slope",1,0,0
397,"Gentle slope",1,0,0
398,"Gentle slope",1,0,0
399,"Gentle slope",1,0,0
400,"Gentle slope",1,0,0
401,"Gentle slope",1,0,0
402,"Gentle slope",1,0,0
403,"Gentle slope",1,0,0
404,"Gentle slope",1,0,0
405,"Gentle slope",1,0,0
406,"Gentle slope",1,0,0
407,"Gentle slope",1,0,0
408,"Gentle slope",1,0,0
409,"Gentle slope",1,0,0
410,"Gentle slope",1,0,0
411,"Gentle slope",1,0,0
412,"Gentle slope",1,0,0
413,"Gentle slope",1,0,0
414,"Gentle slope",1,0,0
415,"Gentle slope",1,0,0
416,"Gentle slope",1,0,0
417,"Gentle slope",1,0,0
418,"Gentle slope",1,0,0
419,"Gentle slope",1,0,0
420,"Gentle slope",1,0,0
421,"Gentle slope",1,0,0
422,"Gentle slope",1,0,0
423,"Moderate Slope",0,1,0
424,"Gentle slope",1,0,0
425,"Gentle slope",1,0,0
426,"Gentle slope",1,0,0
427,"Moderate Slope",0,1,0
428,"Gentle slope",1,0,0
429,"Gentle slope",1,0,0
430,"Gentle slope",1,0,0
431,"Gentle slope",1,0,0
432,"Gentle slope",1,0,0
433,"Gentle slope",1,0,0
434,"Gentle slope",1,0,0
435,"Gentle slope",1,0,0
436,"Gentle slope",1,0,0
437,"Gentle slope",1,0,0
438,"Gentle slope",1,0,0
439,"Gentle slope",1,0,0
440,"Gentle slope",1,0,0
441,"Gentle slope",1,0,0
442,"Gentle slope",1,0,0
443,"Gentle slope",1,0,0
444,"Gentle slope",1,0,0
445,"Gentle slope",1,0,0
446,"Gentle slope",1,0,0
447,"Gentle slope",1,0,0
448,"Gentle slope",1,0,0
449,"Gentle slope",1,0,0
450,"Gentle slope",1,0,0
451,"Gentle slope",1,0,0
452,"Moderate Slope",0,1,0
453,"Gentle slope",1,0,0
454,"Gentle slope",1,0,0
455,"Gentle slope",1,0,0
456,"Gentle slope",1,0,0
457,"Gentle slope",1,0,0
458,"Moderate Slope",0,1,0
459,"Gentle slope",1,0,0
460,"Gentle slope",1,0,0
461,"Gentle slope",1,0,0
462,"Gentle slope",1,0,0
463,"Gentle slope",1,0,0
464,"Moderate Slope",0,1,0
465,"Moderate Slope",0,1,0
466,"Gentle slope",1,0,0
467,"Gentle slope",1,0,0
468,"Gentle slope",1,0,0
469,"Gentle slope",1,0,0
470,"Gentle slope",1,0,0
471,"Gentle slope",1,0,0
472,"Gentle slope",1,0,0
473,"Gentle slope",1,0,0
474,"Gentle slope",1,0,0
475,"Gentle slope",1,0,0
476,"Gentle slope",1,0,0
477,"Moderate Slope",0,1,0
478,"Gentle slope",1,0,0
479,"Gentle slope",1,0,0
480,"Gentle slope",1,0,0
481,"Gentle slope",1,0,0
482,"Gentle slope",1,0,0
483,"Gentle slope",1,0,0
484,"Gentle slope",1,0,0
485,"Gentle slope",1,0,0
486,"Gentle slope",1,0,0
487,"Gentle slope",1,0,0
488,"Gentle slope",1,0,0
489,"Gentle slope",1,0,0
490,"Gentle slope",1,0,0
491,"Gentle slope",1,0,0
492,"Gentle slope",1,0,0
493,"Gentle slope",1,0,0
494,"Gentle slope",1,0,0
495,"Gentle slope",1,0,0
496,"Gentle slope",1,0,0
497,"Gentle slope",1,0,0
498,"Gentle slope",1,0,0
499,"Gentle slope",1,0,0
500,"Gentle slope",1,0,0
501,"Gentle slope",1,0,0
502,"Gentle slope",1,0,0
503,"Gentle slope",1,0,0
504,"Gentle slope",1,0,0
505,"Gentle slope",1,0,0
506,"Gentle slope",1,0,0
507,"Gentle slope",1,0,0
508,"Gentle slope",1,0,0
509,"Gentle slope",1,0,0
510,"Gentle slope",1,0,0
511,"Gentle slope",1,0,0
512,"Gentle slope",1,0,0
513,"Gentle slope",1,0,0
514,"Gentle slope",1,0,0
515,"Gentle slope",1,0,0
516,"Gentle slope",1,0,0
517,"Gentle slope",1,0,0
518,"Gentle slope",1,0,0
519,"Gentle slope",1,0,0
520,"Gentle slope",1,0,0
521,"Gentle slope",1,0,0
522,"Gentle slope",1,0,0
523,"Gentle slope",1,0,0
524,"Gentle slope",1,0,0
525,"Gentle slope",1,0,0
526,"Gentle slope",1,0,0
527,"Gentle slope",1,0,0
528,"Gentle slope",1,0,0
529,"Gentle slope",1,0,0
530,"Gentle slope",1,0,0
531,"Gentle slope",1,0,0
532,"Gentle slope",1,0,0
533,"Gentle slope",1,0,0
534,"Moderate Slope",0,1,0
535,"Gentle slope",1,0,0
536,"Gentle slope",1,0,0
537,"Gentle slope",1,0,0
538,"Gentle slope",1,0,0
539,"Gentle slope",1,0,0
540,"Gentle slope",1,0,0
541,"Gentle slope",1,0,0
542,"Gentle slope",1,0,0
543,"Gentle slope",1,0,0
544,"Gentle slope",1,0,0
545,"Gentle slope",1,0,0
546,"Gentle slope",1,0,0
547,"Gentle slope",1,0,0
548,"Gentle slope",1,0,0
549,"Gentle slope",1,0,0
550,"Gentle slope",1,0,0
551,"Gentle slope",1,0,0
552,"Gentle slope",1,0,0
553,"Gentle slope",1,0,0
554,"Gentle slope",1,0,0
555,"Gentle slope",1,0,0
556,"Gentle slope",1,0,0
557,"Gentle slope",1,0,0
558,"Moderate Slope",0,1,0
559,"Gentle slope",1,0,0
560,"Gentle slope",1,0,0
561,"Gentle slope",1,0,0
562,"Moderate Slope",0,1,0
563,"Gentle slope",1,0,0
564,"Gentle slope",1,0,0
565,"Gentle slope",1,0,0
566,"Gentle slope",1,0,0
567,"Gentle slope",1,0,0
568,"Gentle slope",1,0,0
569,"Moderate Slope",0,1,0
570,"Gentle slope",1,0,0
571,"Gentle slope",1,0,0
572,"Gentle slope",1,0,0
573,"Gentle slope",1,0,0
574,"Gentle slope",1,0,0
575,"Gentle slope",1,0,0
576,"Gentle slope",1,0,0
577,"Gentle slope",1,0,0
578,"Gentle slope",1,0,0
579,"Gentle slope",1,0,0
580,"Gentle slope",1,0,0
581,"Gentle slope",1,0,0
582,"Gentle slope",1,0,0
583,"Gentle slope",1,0,0
584,"Gentle slope",1,0,0
585,"Gentle slope",1,0,0
586,"Gentle slope",1,0,0
587,"Gentle slope",1,0,0
588,"Gentle slope",1,0,0
589,"Severe Slope",0,0,1
590,"Gentle slope",1,0,0
591,"Gentle slope",1,0,0
592,"Gentle slope",1,0,0
593,"Gentle slope",1,0,0
594,"Gentle slope",1,0,0
595,"Gentle slope",1,0,0
596,"Gentle slope",1,0,0
597,"Gentle slope",1,0,0
598,"Gentle slope",1,0,0
599,"Gentle slope",1,0,0
600,"Gentle slope",1,0,0
601,"Gentle slope",1,0,0
602,"Gentle slope",1,0,0
603,"Gentle slope",1,0,0
604,"Gentle slope",1,0,0
605,"Gentle slope",1,0,0
606,"Gentle slope",1,0,0
607,"Moderate Slope",0,1,0
608,"Moderate Slope",0,1,0
609,"Moderate Slope",0,1,0
610,"Gentle slope",1,0,0
611,"Gentle slope",1,0,0
612,"Gentle slope",1,0,0
613,"Gentle slope",1,0,0
614,"Gentle slope",1,0,0
615,"Gentle slope",1,0,0
616,"Gentle slope",1,0,0
617,"Gentle slope",1,0,0
618,"Moderate Slope",0,1,0
619,"Gentle slope",1,0,0
620,"Gentle slope",1,0,0
621,"Gentle slope",1,0,0
622,"Gentle slope",1,0,0
623,"Gentle slope",1,0,0
624,"Gentle slope",1,0,0
625,"Gentle slope",1,0,0
626,"Gentle slope",1,0,0
627,"Gentle slope",1,0,0
628,"Gentle slope",1,0,0
629,"Severe Slope",0,0,1
630,"Gentle slope",1,0,0
631,"Gentle slope",1,0,0
632,"Gentle slope",1,0,0
633,"Gentle slope",1,0,0
634,"Gentle slope",1,0,0
635,"Gentle slope",1,0,0
636,"Gentle slope",1,0,0
637,"Gentle slope",1,0,0
638,"Gentle slope",1,0,0
639,"Gentle slope",1,0,0
640,"Gentle slope",1,0,0
641,"Gentle slope",1,0,0
642,"Gentle slope",1,0,0
643,"Gentle slope",1,0,0
644,"Gentle slope",1,0,0
645,"Gentle slope",1,0,0
646,"Gentle slope",1,0,0
647,"Gentle slope",1,0,0
648,"Gentle slope",1,0,0
649,"Gentle slope",1,0,0
650,"Gentle slope",1,0,0
651,"Gentle slope",1,0,0
652,"Gentle slope",1,0,0
653,"Gentle slope",1,0,0
654,"Gentle slope",1,0,0
655,"Gentle slope",1,0,0
656,"Gentle slope",1,0,0
657,"Gentle slope",1,0,0
658,"Moderate Slope",0,1,0
659,"Gentle slope",1,0,0
660,"Gentle slope",1,0,0
661,"Gentle slope",1,0,0
662,"Gentle slope",1,0,0
663,"Gentle slope",1,0,0
664,"Gentle slope",1,0,0
665,"Gentle slope",1,0,0
666,"Gentle slope",1,0,0
667,"Gentle slope",1,0,0
668,"Gentle slope",1,0,0
669,"Moderate Slope",0,1,0
670,"Gentle slope",1,0,0
671,"Gentle slope",1,0,0
672,"Gentle slope",1,0,0
673,"Gentle slope",1,0,0
674,"Gentle slope",1,0,0
675,"Gentle slope",1,0,0
676,"Gentle slope",1,0,0
677,"Gentle slope",1,0,0
678,"Gentle slope",1,0,0
679,"Gentle slope",1,0,0
680,"Gentle slope",1,0,0
681,"Gentle slope",1,0,0
682,"Gentle slope",1,0,0
683,"Gentle slope",1,0,0
684,"Gentle slope",1,0,0
685,"Gentle slope",1,0,0
686,"Gentle slope",1,0,0
687,"Gentle slope",1,0,0
688,"Gentle slope",1,0,0
689,"Gentle slope",1,0,0
690,"Gentle slope",1,0,0
691,"Gentle slope",1,0,0
692,"Gentle slope",1,0,0
693,"Moderate Slope",0,1,0
694,"Severe Slope",0,0,1
695,"Gentle slope",1,0,0
696,"Gentle slope",1,0,0
697,"Gentle slope",1,0,0
698,"Gentle slope",1,0,0
699,"Gentle slope",1,0,0
700,"Gentle slope",1,0,0
701,"Gentle slope",1,0,0
702,"Gentle slope",1,0,0
703,"Gentle slope",1,0,0
704,"Gentle slope",1,0,0
705,"Gentle slope",1,0,0
706,"Gentle slope",1,0,0
707,"Severe Slope",0,0,1
708,"Gentle slope",1,0,0
709,"Gentle slope",1,0,0
710,"Gentle slope",1,0,0
711,"Gentle slope",1,0,0
712,"Moderate Slope",0,1,0
713,"Gentle slope",1,0,0
714,"Gentle slope",1,0,0
715,"Gentle slope",1,0,0
716,"Gentle slope",1,0,0
717,"Gentle slope",1,0,0
718,"Gentle slope",1,0,0
719,"Gentle slope",1,0,0
720,"Gentle slope",1,0,0
721,"Moderate Slope",0,1,0
722,"Gentle slope",1,0,0
723,"Gentle slope",1,0,0
724,"Gentle slope",1,0,0
725,"Gentle slope",1,0,0
726,"Gentle slope",1,0,0
727,"Gentle slope",1,0,0
728,"Gentle slope",1,0,0
729,"Gentle slope",1,0,0
730,"Gentle slope",1,0,0
731,"Gentle slope",1,0,0
732,"Gentle slope",1,0,0
733,"Gentle slope",1,0,0
734,"Gentle slope",1,0,0
735,"Gentle slope",1,0,0
736,"Gentle slope",1,0,0
737,"Gentle slope",1,0,0
738,"Gentle slope",1,0,0
739,"Gentle slope",1,0,0
740,"Gentle slope",1,0,0
741,"Gentle slope",1,0,0
742,"Gentle slope",1,0,0
743,"Gentle slope",1,0,0
744,"Gentle slope",1,0,0
745,"Gentle slope",1,0,0
746,"Gentle slope",1,0,0
747,"Gentle slope",1,0,0
748,"Gentle slope",1,0,0
749,"Gentle slope",1,0,0
750,"Gentle slope",1,0,0
751,"Gentle slope",1,0,0
752,"Gentle slope",1,0,0
753,"Gentle slope",1,0,0
754,"Gentle slope",1,0,0
755,"Gentle slope",1,0,0
756,"Gentle slope",1,0,0
757,"Gentle slope",1,0,0
758,"Gentle slope",1,0,0
759,"Gentle slope",1,0,0
760,"Gentle slope",1,0,0
761,"Gentle slope",1,0,0
762,"Gentle slope",1,0,0
763,"Gentle slope",1,0,0
764,"Gentle slope",1,0,0
765,"Gentle slope",1,0,0
766,"Gentle slope",1,0,0
767,"Gentle slope",1,0,0
768,"Gentle slope",1,0,0
769,"Gentle slope",1,0,0
770,"Moderate Slope",0,1,0
771,"Gentle slope",1,0,0
772,"Gentle slope",1,0,0
773,"Gentle slope",1,0,0
774,"Gentle slope",1,0,0
775,"Gentle slope",1,0,0
776,"Gentle slope",1,0,0
777,"Gentle slope",1,0,0
778,"Gentle slope",1,0,0
779,"Gentle slope",1,0,0
780,"Gentle slope",1,0,0
781,"Gentle slope",1,0,0
782,"Gentle slope",1,0,0
783,"Gentle slope",1,0,0
784,"Gentle slope",1,0,0
785,"Gentle slope",1,0,0
786,"Gentle slope",1,0,0
787,"Gentle slope",1,0,0
788,"Gentle slope",1,0,0
789,"Gentle slope",1,0,0
790,"Gentle slope",1,0,0
791,"Gentle slope",1,0,0
792,"Gentle slope",1,0,0
793,"Gentle slope",1,0,0
794,"Gentle slope",1,0,0
795,"Gentle slope",1,0,0
796,"Gentle slope",1,0,0
797,"Gentle slope",1,0,0
798,"Gentle slope",1,0,0
799,"Gentle slope",1,0,0
800,"Gentle slope",1,0,0
801,"Moderate Slope",0,1,0
802,"Gentle slope",1,0,0
803,"Gentle slope",1,0,0
804,"Gentle slope",1,0,0
805,"Gentle slope",1,0,0
806,"Gentle slope",1,0,0
807,"Gentle slope",1,0,0
808,"Gentle slope",1,0,0
809,"Gentle slope",1,0,0
810,"Gentle slope",1,0,0
811,"Gentle slope",1,0,0
812,"Gentle slope",1,0,0
813,"Moderate Slope",0,1,0
814,"Gentle slope",1,0,0
815,"Gentle slope",1,0,0
816,"Gentle slope",1,0,0
817,"Gentle slope",1,0,0
818,"Gentle slope",1,0,0
819,"Gentle slope",1,0,0
820,"Gentle slope",1,0,0
821,"Gentle slope",1,0,0
822,"Moderate Slope",0,1,0
823,"Gentle slope",1,0,0
824,"Gentle slope",1,0,0
825,"Gentle slope",1,0,0
826,"Gentle slope",1,0,0
827,"Gentle slope",1,0,0
828,"Gentle slope",1,0,0
829,"Severe Slope",0,0,1
830,"Gentle slope",1,0,0
831,"Gentle slope",1,0,0
832,"Gentle slope",1,0,0
833,"Gentle slope",1,0,0
834,"Gentle slope",1,0,0
835,"Gentle slope",1,0,0
836,"Gentle slope",1,0,0
837,"Gentle slope",1,0,0
838,"Gentle slope",1,0,0
839,"Gentle slope",1,0,0
840,"Gentle slope",1,0,0
841,"Gentle slope",1,0,0
842,"Gentle slope",1,0,0
843,"Gentle slope",1,0,0
844,"Gentle slope",1,0,0
845,"Gentle slope",1,0,0
846,"Gentle slope",1,0,0
847,"Gentle slope",1,0,0
848,"Gentle slope",1,0,0
849,"Gentle slope",1,0,0
850,"Gentle slope",1,0,0
851,"Gentle slope",1,0,0
852,"Gentle slope",1,0,0
853,"Gentle slope",1,0,0
854,"Gentle slope",1,0,0
855,"Gentle slope",1,0,0
856,"Gentle slope",1,0,0
857,"Moderate Slope",0,1,0
858,"Gentle slope",1,0,0
859,"Gentle slope",1,0,0
860,"Gentle slope",1,0,0
861,"Gentle slope",1,0,0
862,"Gentle slope",1,0,0
863,"Gentle slope",1,0,0
864,"Gentle slope",1,0,0
865,"Gentle slope",1,0,0
866,"Gentle slope",1,0,0
867,"Gentle slope",1,0,0
868,"Gentle slope",1,0,0
869,"Gentle slope",1,0,0
