"id","mssubclass","lotshape","lotshape_mean"
390,"2-STORY 1946 & NEWER","Regular",0.63
173,"2-STORY PUD - 1946 & NEWER","Slightly irregular",0.33
1018,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Slightly irregular",0.33
42,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
1263,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
189,"DUPLEX - ALL STYLES AND AGES","Regular",0.63
161,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
876,"2-STORY 1946 & NEWER","Regular",0.63
113,"2-STORY 1946 & NEWER","Regular",0.63
1431,"2-STORY 1946 & NEWER","Irregular",0.01
1372,"SPLIT OR MULTI-LEVEL","Regular",0.63
632,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Regular",0.63
658,"2-STORY 1945 & OLDER","Regular",0.63
120,"2-STORY 1946 & NEWER","Regular",0.63
1289,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Slightly irregular",0.33
802,"1-STORY 1945 & OLDER","Regular",0.63
578,"SPLIT OR MULTI-LEVEL","Slightly irregular",0.33
815,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
695,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
1422,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Regular",0.63
440,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
1004,"DUPLEX - ALL STYLES AND AGES","Slightly irregular",0.33
1415,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
794,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
57,"2-STORY PUD - 1946 & NEWER","Regular",0.63
1313,"2-STORY 1946 & NEWER","Slightly irregular",0.33
19,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
160,"2-STORY 1946 & NEWER","Slightly irregular",0.33
644,"2-STORY 1946 & NEWER","Regular",0.63
824,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
1368,"2-STORY PUD - 1946 & NEWER","Regular",0.63
508,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
1262,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
1194,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Regular",0.63
357,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
1143,"2-STORY 1946 & NEWER","Regular",0.63
769,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
266,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
1287,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
315,"2-STORY 1945 & OLDER","Regular",0.63
1162,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
366,"2-STORY 1945 & OLDER","Regular",0.63
307,"2-STORY 1946 & NEWER","Regular",0.63
841,"2-STORY 1945 & OLDER","Slightly irregular",0.33
1030,"2-STORY PUD - 1946 & NEWER","Regular",0.63
91,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
1239,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
803,"2-STORY 1946 & NEWER","Regular",0.63
305,"2-1/2 STORY ALL AGES","Regular",0.63
54,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
181,"2-STORY PUD - 1946 & NEWER","Regular",0.63
1312,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
743,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
10,"2 FAMILY CONVERSION - ALL STYLES AND AGES","Regular",0.63
35,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Regular",0.63
963,"2-STORY PUD - 1946 & NEWER","Regular",0.63
220,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Regular",0.63
1278,"SPLIT OR MULTI-LEVEL","Slightly irregular",0.33
823,"2-STORY 1946 & NEWER","Slightly irregular",0.33
822,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
400,"2-STORY 1946 & NEWER","Regular",0.63
1118,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
1025,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
241,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
175,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
1007,"1-STORY 1946 & NEWER ALL STYLES","Irregular",0.01
596,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
285,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Regular",0.63
50,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
13,"1-STORY 1946 & NEWER ALL STYLES","Moderately Irregular",0.03
1319,"1-STORY 1946 & NEWER ALL STYLES","Moderately Irregular",0.03
1266,"2-STORY PUD - 1946 & NEWER","Regular",0.63
391,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
1104,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
487,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
2,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
699,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
246,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
75,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
1190,"2-STORY 1946 & NEWER","Regular",0.63
128,"1-1/2 STORY - UNFINISHED ALL AGES","Slightly irregular",0.33
714,"2 FAMILY CONVERSION - ALL STYLES AND AGES","Regular",0.63
344,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Slightly irregular",0.33
906,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
909,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
1321,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
745,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Slightly irregular",0.33
1078,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
534,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
152,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
1216,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
1049,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
428,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
637,"1-STORY 1945 & OLDER","Regular",0.63
355,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
1279,"2-STORY 1946 & NEWER","Regular",0.63
1403,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
747,"2-STORY 1946 & NEWER","Slightly irregular",0.33
222,"2-STORY 1946 & NEWER","Slightly irregular",0.33
1006,"SPLIT OR MULTI-LEVEL","Regular",0.63
1324,"1-STORY 1945 & OLDER","Regular",0.63
1008,"2-STORY PUD - 1946 & NEWER","Regular",0.63
777,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
164,"1-1/2 STORY - UNFINISHED ALL AGES","Regular",0.63
1098,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Regular",0.63
1325,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
453,"2-STORY 1946 & NEWER","Slightly irregular",0.33
922,"DUPLEX - ALL STYLES AND AGES","Regular",0.63
787,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
186,"2-1/2 STORY ALL AGES","Moderately Irregular",0.03
501,"2-STORY PUD - 1946 & NEWER","Regular",0.63
750,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
545,"2-STORY 1946 & NEWER","Slightly irregular",0.33
182,"2-STORY 1945 & OLDER","Regular",0.63
977,"1-STORY 1945 & OLDER","Slightly irregular",0.33
18,"DUPLEX - ALL STYLES AND AGES","Regular",0.63
528,"2-STORY 1946 & NEWER","Slightly irregular",0.33
27,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
811,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
563,"1-STORY 1945 & OLDER","Regular",0.63
143,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
496,"1-STORY 1945 & OLDER","Regular",0.63
58,"2-STORY 1946 & NEWER","Slightly irregular",0.33
228,"2-STORY PUD - 1946 & NEWER","Regular",0.63
667,"2-STORY 1946 & NEWER","Slightly irregular",0.33
814,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
668,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
294,"2-STORY 1946 & NEWER","Slightly irregular",0.33
850,"SPLIT OR MULTI-LEVEL","Regular",0.63
481,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
926,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
645,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
1009,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
1460,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
607,"1-STORY 1946 & NEWER ALL STYLES","Moderately Irregular",0.03
438,"1-1/2 STORY - UNFINISHED ALL AGES","Regular",0.63
382,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
258,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
853,"2-1/2 STORY ALL AGES","Regular",0.63
378,"2-STORY 1946 & NEWER","Slightly irregular",0.33
483,"2-STORY 1945 & OLDER","Regular",0.63
1349,"1-STORY 1946 & NEWER ALL STYLES","Irregular",0.01
1050,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
84,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
799,"2-STORY 1946 & NEWER","Regular",0.63
276,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
646,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
1259,"SPLIT OR MULTI-LEVEL","Slightly irregular",0.33
1044,"2-STORY 1946 & NEWER","Regular",0.63
379,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
320,"SPLIT OR MULTI-LEVEL","Regular",0.63
942,"2-STORY 1946 & NEWER","Slightly irregular",0.33
1062,"1-STORY 1945 & OLDER","Regular",0.63
115,"2-STORY 1945 & OLDER","Slightly irregular",0.33
1458,"2-STORY 1945 & OLDER","Regular",0.63
97,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
108,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
59,"2-STORY 1946 & NEWER","Moderately Irregular",0.03
589,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
127,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Slightly irregular",0.33
1285,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
1167,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
555,"2-STORY 1946 & NEWER","Regular",0.63
329,"2-1/2 STORY ALL AGES","Slightly irregular",0.33
682,"1-1/2 STORY FINISHED ALL AGES","Moderately Irregular",0.03
567,"2-STORY 1946 & NEWER","Slightly irregular",0.33
44,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
1144,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
816,"1-STORY 1946 & NEWER ALL STYLES","Moderately Irregular",0.03
1447,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
1398,"2-STORY 1945 & OLDER","Regular",0.63
153,"2-STORY 1946 & NEWER","Slightly irregular",0.33
676,"2-STORY PUD - 1946 & NEWER","Regular",0.63
1022,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
778,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
507,"2-STORY 1946 & NEWER","Slightly irregular",0.33
944,"DUPLEX - ALL STYLES AND AGES","Regular",0.63
214,"1-STORY 1946 & NEWER ALL STYLES","Moderately Irregular",0.03
847,"2-STORY 1946 & NEWER","Regular",0.63
419,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
1336,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
664,"SPLIT FOYER","Regular",0.63
551,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Regular",0.63
1170,"2-STORY 1946 & NEWER","Slightly irregular",0.33
532,"2-STORY 1945 & OLDER","Slightly irregular",0.33
945,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
1371,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
948,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
95,"2-STORY 1946 & NEWER","Slightly irregular",0.33
1434,"2-STORY 1946 & NEWER","Slightly irregular",0.33
259,"2-STORY 1946 & NEWER","Regular",0.63
519,"2-STORY 1946 & NEWER","Slightly irregular",0.33
1203,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
1250,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
965,"2-STORY 1946 & NEWER","Regular",0.63
172,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
409,"2-STORY 1946 & NEWER","Regular",0.63
840,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
30,"1-STORY 1945 & OLDER","Slightly irregular",0.33
521,"2 FAMILY CONVERSION - ALL STYLES AND AGES","Regular",0.63
1378,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
1038,"2-STORY 1946 & NEWER","Regular",0.63
3,"2-STORY 1946 & NEWER","Slightly irregular",0.33
936,"1-STORY 1945 & OLDER","Slightly irregular",0.33
324,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
981,"SPLIT FOYER","Slightly irregular",0.33
921,"2-STORY 1946 & NEWER","Slightly irregular",0.33
1334,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
1221,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
1227,"2-STORY 1946 & NEWER","Slightly irregular",0.33
249,"2-STORY 1946 & NEWER","Regular",0.63
255,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
1295,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
1126,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
1217,"DUPLEX - ALL STYLES AND AGES","Regular",0.63
984,"2-STORY 1946 & NEWER","Regular",0.63
209,"2-STORY 1946 & NEWER","Slightly irregular",0.33
639,"1-STORY 1945 & OLDER","Regular",0.63
296,"SPLIT OR MULTI-LEVEL","Slightly irregular",0.33
74,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
937,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
1249,"2-1/2 STORY ALL AGES","Regular",0.63
868,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
138,"DUPLEX - ALL STYLES AND AGES","Regular",0.63
34,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
418,"2-STORY 1945 & OLDER","Slightly irregular",0.33
947,"SPLIT OR MULTI-LEVEL","Regular",0.63
1411,"2-STORY 1946 & NEWER","Regular",0.63
1229,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Regular",0.63
978,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Slightly irregular",0.33
972,"2-STORY PUD - 1946 & NEWER","Regular",0.63
761,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
407,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
1084,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
90,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
904,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
443,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
387,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
1337,"DUPLEX - ALL STYLES AND AGES","Slightly irregular",0.33
39,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
690,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Slightly irregular",0.33
526,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
1209,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
393,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
1428,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
524,"2-STORY 1946 & NEWER","Slightly irregular",0.33
312,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
1151,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
498,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
862,"2 FAMILY CONVERSION - ALL STYLES AND AGES","Regular",0.63
1185,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
494,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
469,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
683,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Regular",0.63
118,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
793,"2-STORY 1946 & NEWER","Slightly irregular",0.33
608,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
317,"2-STORY 1946 & NEWER","Slightly irregular",0.33
1265,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Regular",0.63
702,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
488,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
1101,"1-STORY 1945 & OLDER","Regular",0.63
1048,"1-STORY 1946 & NEWER ALL STYLES","Moderately Irregular",0.03
126,"2 FAMILY CONVERSION - ALL STYLES AND AGES","Regular",0.63
194,"2-STORY PUD - 1946 & NEWER","Regular",0.63
360,"2-STORY 1946 & NEWER","Slightly irregular",0.33
463,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
476,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
99,"1-STORY 1945 & OLDER","Regular",0.63
883,"2-STORY 1946 & NEWER","Slightly irregular",0.33
629,"2-STORY 1946 & NEWER","Slightly irregular",0.33
726,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
374,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
1146,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
1215,"SPLIT FOYER","Slightly irregular",0.33
1210,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
224,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
719,"2-STORY 1946 & NEWER","Regular",0.63
756,"2-STORY PUD - 1946 & NEWER","Regular",0.63
318,"2-STORY 1946 & NEWER","Regular",0.63
933,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
647,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
442,"DUPLEX - ALL STYLES AND AGES","Regular",0.63
354,"1-STORY 1945 & OLDER","Regular",0.63
1296,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
1238,"2-STORY 1946 & NEWER","Moderately Irregular",0.03
593,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
12,"2-STORY 1946 & NEWER","Slightly irregular",0.33
479,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
293,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
1354,"1-1/2 STORY FINISHED ALL AGES","Slightly irregular",0.33
1120,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
495,"1-STORY 1945 & OLDER","Regular",0.63
154,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
1257,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
1283,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
657,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
234,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
1306,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
474,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
899,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
935,"1-STORY 1946 & NEWER ALL STYLES","Moderately Irregular",0.03
748,"2-STORY 1945 & OLDER","Slightly irregular",0.33
675,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
696,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
969,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
1179,"1-1/2 STORY FINISHED ALL AGES","Slightly irregular",0.33
264,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
1253,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
270,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
898,"DUPLEX - ALL STYLES AND AGES","Regular",0.63
435,"PUD - MULTILEVEL - INCL SPLIT LEV/FOYER","Regular",0.63
384,"1-1/2 STORY - UNFINISHED ALL AGES","Regular",0.63
1145,"2 FAMILY CONVERSION - ALL STYLES AND AGES","Regular",0.63
351,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Slightly irregular",0.33
116,"2-STORY PUD - 1946 & NEWER","Regular",0.63
970,"2 FAMILY CONVERSION - ALL STYLES AND AGES","Regular",0.63
732,"SPLIT OR MULTI-LEVEL","Slightly irregular",0.33
837,"1-STORY 1945 & OLDER","Regular",0.63
826,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
431,"2-STORY PUD - 1946 & NEWER","Regular",0.63
1226,"SPLIT OR MULTI-LEVEL","Regular",0.63
491,"2-STORY PUD - 1946 & NEWER","Regular",0.63
911,"DUPLEX - ALL STYLES AND AGES","Regular",0.63
462,"2-STORY 1945 & OLDER","Regular",0.63
734,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
855,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
1272,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
1248,"SPLIT OR MULTI-LEVEL","Slightly irregular",0.33
436,"2-STORY 1946 & NEWER","Moderately Irregular",0.03
180,"1-STORY 1945 & OLDER","Regular",0.63
1219,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
967,"1-1/2 STORY FINISHED ALL AGES","Slightly irregular",0.33
870,"2-STORY 1946 & NEWER","Regular",0.63
1397,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
626,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
263,"SPLIT OR MULTI-LEVEL","Slightly irregular",0.33
836,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
784,"SPLIT FOYER","Slightly irregular",0.33
711,"1-STORY 1945 & OLDER","Slightly irregular",0.33
470,"2-STORY 1946 & NEWER","Slightly irregular",0.33
780,"DUPLEX - ALL STYLES AND AGES","Regular",0.63
768,"1-1/2 STORY FINISHED ALL AGES","Slightly irregular",0.33
1036,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
838,"2-STORY PUD - 1946 & NEWER","Regular",0.63
478,"2-STORY 1946 & NEWER","Regular",0.63
149,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
1301,"2-STORY 1946 & NEWER","Slightly irregular",0.33
577,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
505,"2-STORY PUD - 1946 & NEWER","Regular",0.63
280,"2-STORY 1946 & NEWER","Regular",0.63
88,"2-STORY PUD - 1946 & NEWER","Regular",0.63
188,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
461,"2-STORY 1946 & NEWER","Slightly irregular",0.33
240,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
1057,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Slightly irregular",0.33
328,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
717,"2-STORY 1945 & OLDER","Regular",0.63
525,"2-STORY 1946 & NEWER","Slightly irregular",0.33
634,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
1046,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
1328,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
650,"PUD - MULTILEVEL - INCL SPLIT LEV/FOYER","Regular",0.63
703,"2-STORY 1946 & NEWER","Slightly irregular",0.33
226,"2-STORY PUD - 1946 & NEWER","Regular",0.63
210,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
710,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
1161,"2-STORY PUD - 1946 & NEWER","Regular",0.63
843,"SPLIT OR MULTI-LEVEL","Regular",0.63
48,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
1016,"2-STORY 1946 & NEWER","Regular",0.63
447,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
298,"2-STORY 1946 & NEWER","Slightly irregular",0.33
81,"2-STORY 1946 & NEWER","Regular",0.63
1015,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
954,"2-STORY 1946 & NEWER","Slightly irregular",0.33
1218,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
800,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
204,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Regular",0.63
1021,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
5,"2-STORY 1946 & NEWER","Slightly irregular",0.33
1165,"SPLIT OR MULTI-LEVEL","Slightly irregular",0.33
1077,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
456,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
